6,Shopping,,IAB22
2027,Shopping,20,IAB22
40101,"Shopping Guides, Comparison Sites",40001,IAB22-3
40001,"Shopping, Promotions",,
2545,Skateboarding,25,IAB17-34
2526,Skiing,25,IAB17-35
2609,Smokeless Cigarettes,26,
2603,Smokers Resources,26,
2604,Smoking Accessories,26,
1438,Smoking Cessation,14,
2546,Snowboarding,25,
41902,Social apps,40019,
804,Social apps,8,
40019,Social Networking,,
8,Social Networking,,
2028,Social Networking,20,
32,Social Science,,
41901,Social sites,40019,
803,Social sites,8,
35,Society,,
40802,Software Publishers,40008,
2838,South Africa,28,
2839,South America,28,IAB20-23
2409,Space/Astronomy,24,IAB15-7
2840,Spas,28,IAB20-24
2322,Special Education,23,IAB5-14
923,Special Needs Kids,9,IAB6-8
40203,Specialized Information,40002,
41204,Specialized Portals,40012,
1924,Specialized Portals,19,
40510,Sport,40005,IAB17
25,Sports,,IAB17
2029,Sports,20,IAB17
1204,Sports Betting,12,
1538,Stamps & Coins,15,IAB9-29
3015,Stocks,30,IAB13-11
33,Style & Fashion,,IAB18
1414,Substance Abuse,14,IAB7-42
2547,Surfing/Bodyboarding,25,IAB17-37
2525,Swimming,25,IAB17-38
109,Swingers,1,
2524,Table Tennis/Ping-Pong,25,IAB17-39
3016,Tax Planning,30,IAB13-12
2308,Teachers Resources,23,
1824,Tech News,18,
18,Technology & Computing,,IAB19
3510,Teens,35,IAB6-6
40014,"Telecom, Internet Services",,
31,Telecommunications,,IAB4-9
511,Telecommuting,5,IAB4-9
217,Television,2,IAB1-7
2521,Tennis,25,IAB17-40
2802,Theme Parks,28,IAB20-25
2605,Tobacco,26,
26,Tobacco and Smoking,,
1932,Tools & Applications,19,
41505,"Tourism, Destinations",40015,
1539,Toys,15,
40602,"Training, Education",40006,
2909,Translation,29,
40015,Travel,,IAB20
2030,Travel,20,IAB20
28,Travel,,IAB20
2816,Travel Blogs & Forums,28,
2841,Traveling with Kids,28,
1516,Trivia/Polls/Contests,15,
317,Trucks & Accessories,3,IAB2-21
2323,Tutoring,23,
40508,TV and Radio,40005,IAB1-7
1306,U.S. Government Resources,13,
2842,United Kingdom,28,IAB20-27
2843,United States,28,
40603,Universities,40006,
1825,Unix,18,
505,US Military,5,
2104,US National News,21,
2844,US National Parks,28,
1123,Vegan,11,IAB8-16
1110,Vegetarian,11,IAB8-17
1607,Veterinary Medicine,16,IAB16-7
220,Video,2,IAB19-14
1540,Video & Computer Games,15,
1933,Video Streaming,19,
40511,"Videos, Cinema",40005,
324,Vintage Cars,3,IAB2-22
1826,Visual Basic,18,IAB19-32
2548,Volleyball,25,IAB17-41
2549,Walking,25,IAB17-42
1921,Wallpapers & Screensavers,19,
2550,Waterski/Wakeboard,25,IAB17-43
40204,Weather,40002,IAB15-10
2417,Weather,24,IAB15-10
2031,Weather,20,IAB15-10
1827,Web Design/HTML,18,IAB19-34
1828,Web Hosting,18,
41403,Web Hosting,40014,
1923,Web Search,19,IAB19-35
3511,Weddings,35,
1404,Weight Loss,14,IAB7-44
2845,Western Europe,28,
1829,Windows OS,18,IAB19-36
1111,Wine,11,IAB8-18
1419,Women's Health,14,IAB7-45
1541,Women's Interests,15,
1542,Woodworking,15,IAB9-31
2522,World Soccer,25,IAB17-44
2527,Wrestling,25,
